ISODateTimeUTC,SecondsSince1970,COG,Heel,Heel_Abs,Heel_Lwd,Lat,LatBow,LatCenter,LatStern,Line_C,Line_L,Line_R,Log,Lon,LonBow,LonCenter,LonStern,MagneticVariation,ROT,Side_lines,SOG,TimeLocal,TimeUTC,Total_lines,Trim,TWA,TWA_Abs,TWD,TWS,VMG
2025-06-11T12:52:00.056Z,1749646320.056,257.7,-26.8,26.8,26.8,43.5154571,43.515456698,43.515458038,43.515459379,76.8,1.1,5,302.853,4.0958702,4.095867656,4.095876135,4.095884615,2.5,,6.1,18.6,1749653520056.997,1749646320056.997,82.9,9.2,-67.423,67.423,190.277,5.894,7.141
2025-06-11T12:52:00.158Z,1749646320.158,255.5,-27.9,27.9,27.9,43.5154546,43.515454127,43.515455703,43.515457279,76.7,1.3,5.1,303.744,4.0958597,4.095857179,4.095865581,4.095873983,2.5,-21.568,6.05,18.5,1749653520158.999,1749646320158.999,82.146,7.6,-65.264,65.264,190.236,5.884,7.741
2025-06-11T12:52:00.260Z,1749646320.260,251.7,-22.2,22.2,22.2,43.5154517,43.515451107,43.515453083,43.515455059,75.4,0.8,5.2,304.628,4.0958495,4.095847028,4.095855268,4.095863507,2.5,-37.623,6,18.4,1749653520260,1749646320260,81.4,6.2,-61.504,61.504,190.196,5.874,8.779
2025-06-11T12:52:00.356Z,1749646320.356,248.2,-23.2,23.2,23.2,43.5154484,43.515447699,43.515450036,43.515452373,72.3,0.8,5.151,305.5,4.0958397,4.095837283,4.09584534,4.095853398,2.5,-36.458,5.756,18.2,1749653520356,1749646320356,78.568,8.5,-58.042,58.042,190.158,5.864,9.633
2025-06-11T12:52:00.456Z,1749646320.456,245.2,-29.4,29.4,29.4,43.5154446,43.515443808,43.515446448,43.515449088,70.583,0.4,5.1,306.368,4.0958303,4.095827937,4.095835815,4.095843693,2.5,-29.703,5.5,18,1749653520456.999,1749646320456.999,75.589,11.2,-55.083,55.083,190.117,5.854,10.303
2025-06-11T12:52:00.556Z,1749646320.556,240.2,-24.5,24.5,24.5,43.5154406,43.515439662,43.515442789,43.515445917,68.9,0.254,5,307.198,4.0958216,4.095819341,4.095826872,4.095834402,2.5,-50.505,5.207,17.9,1749653520556,1749646320556,72.668,9.3,-50.122,50.122,190.078,5.844,11.477
2025-06-11T12:52:00.660Z,1749646320.660,237.9,-16.8,16.8,16.8,43.5154359,43.515434897,43.515438241,43.515441585,64.7,0.1,4.8,308.035,4.0958135,4.095811295,4.095818646,4.095825998,2.5,-22.115,4.9,17.6,1749653520660,1749646320660,69.6,6.4,-47.864,47.864,190.036,5.834,11.808
2025-06-11T12:52:00.759Z,1749646320.759,231.3,-12.9,12.9,12.9,43.5154308,43.51542962,43.515433554,43.515437489,60.5,0.2,5.1,308.83,4.0958066,4.095804568,4.095811341,4.095818114,2.5,-66.667,5.3,17.4,1749653520759,1749646320759,65.8,4,-41.304,41.304,189.996,5.824,13.071
2025-06-11T12:52:00.857Z,1749646320.857,224.7,-7.6,7.6,7.6,43.5154256,43.515424258,43.515428731,43.515433205,58.6,0.2,5.3,309.569,4.0958009,4.095799069,4.095805173,4.095811277,2.5,-67.347,5.5,16.2,1749653520857,1749646320857,64.1,1.4,-34.743,34.743,189.957,5.814,13.312
2025-06-11T12:52:00.960Z,1749646320.960,218.1,-3.6,3.6,3.6,43.5154205,43.515419014,43.515423967,43.515428919,59.5,0.2,5.7,310.26,4.095796,4.095794394,4.095799748,4.095805103,2.5,-64.078,5.9,15.4,1749653520960,1749646320960,65.4,1.5,-28.184,28.184,189.916,5.804,13.574
2025-06-11T12:52:01.062Z,1749646321.062,214.1,-2.9,2.9,2.9,43.5154151,43.515413537,43.515418748,43.515423959,63.9,0.3,7.6,310.966,4.0957914,4.09578994,4.095794806,4.095799671,2.5,-39.216,7.9,14.4,1749653521062,1749646321062,71.8,3,-24.231,24.231,189.869,5.788,13.131
2025-06-11T12:52:01.158Z,1749646321.158,211.6,-9.6,9.6,9.6,43.5154108,43.515409192,43.515414552,43.515419913,70,0.6,8.3,311.571,4.0957868,4.095785436,4.095789983,4.095794531,2.5,-25.773,8.9,13.8,1749653521158.999,1749646321158.999,78.9,0.2,-21.779,21.779,189.82,5.768,12.815
2025-06-11T12:52:01.259Z,1749646321.259,216.9,-9.9,9.9,9.9,43.5154068,43.51540529,43.515410323,43.515415356,72.9,0.8,7.7,312.194,4.0957814,4.095779837,4.095785047,4.095790258,2.5,52.999,8.5,13.9,1749653521259,1749646321259,81.4,1,-27.129,27.129,189.77,5.748,12.371
2025-06-11T12:52:01.359Z,1749646321.359,223.6,-9.9,9.9,9.9,43.5154028,43.515401433,43.51540599,43.515410548,78,1.4,9,312.8,4.0957763,4.095774505,4.095780489,4.095786474,2.5,67,10.4,12.2,1749653521359,1749646321359,88.4,5.7,-33.88,33.88,189.721,5.728,10.129
2025-06-11T12:52:01.457Z,1749646321.457,221.9,-18.3,18.3,18.3,43.5153981,43.515396695,43.515401379,43.515406063,87.2,2.9,11,313.446,4.0957716,4.095769861,4.095775657,4.095781453,2.5,-17.172,13.9,12.1,1749653521457.999,1749646321457.999,101.1,8.2,-32.229,32.229,189.671,5.708,10.236
2025-06-11T12:52:01.558Z,1749646321.558,214.9,-8.9,8.9,8.9,43.5153935,43.515391952,43.515397113,43.515402275,94.7,3.1,12.1,314.092,4.0957667,4.09576521,4.095770176,4.095775141,2.5,-69.999,15.2,12.2,1749653521558,1749646321558,109.9,4.2,-25.279,25.279,189.621,5.688,11.032
2025-06-11T12:52:01.657Z,1749646321.657,216.4,-4.3,4.3,4.3,43.5153887,43.51538718,43.515392246,43.515397311,100.5,3.1,12.3,314.733,4.0957623,4.095760755,4.095765905,4.095771055,2.5,15.152,15.4,12.9,1749653521657,1749646321657,115.9,1.3,-26.829,26.829,189.572,5.669,11.511
2025-06-11T12:52:01.756Z,1749646321.756,212.6,-0.8,0.8,0.8,43.5153838,43.515382209,43.515387511,43.515392813,105.9,3.8,12.1,315.367,4.0957583,4.095756897,4.095761573,4.095766249,2.5,-38.384,15.9,13.1,1749653521756,1749646321756,121.8,-1.1,-23.078,23.078,189.522,5.649,12.052
2025-06-11T12:52:01.858Z,1749646321.858,210.3,-3.2,3.2,3.2,43.5153793,43.51537767,43.515383104,43.515388537,108,3.448,12.15,315.923,4.0957553,4.095753986,4.095758365,4.095762743,2.5,-22.549,15.599,12.8,1749653521858,1749646321858,121.537,-4.7,-20.829,20.829,189.471,5.628,11.963
2025-06-11T12:52:01.959Z,1749646321.959,205.2,3.2,3.2,-3.2,43.515375,43.515373292,43.515378986,43.515384681,107.175,3.1,12.2,316.452,4.0957525,4.095751391,4.095755087,4.095758782,2.5,-50.495,15.3,12.5,1749653521959,1749646321959,121.276,-2.4,-15.78,15.78,189.421,5.608,12.029
2025-06-11T12:52:02.065Z,1749646322.065,204,4.9,4.9,-4.9,43.5153707,43.515368975,43.515374725,43.515380474,106.3,2.7,12,316.954,4.0957506,4.095749541,4.095753071,4.095756601,2.5,-11.215,14.7,11,1749653522065.999,1749646322065.999,121,6.6,-14.607,14.607,189.393,5.6,10.644
2025-06-11T12:52:02.164Z,1749646322.164,197.7,11.2,11.2,,43.5153659,43.515364101,43.515370097,43.515376092,102.9,2.9,11.7,317.505,4.0957489,4.095748108,4.095750747,4.095753385,2.5,-64.285,14.85,10.2,1749653522164,1749646322164,118.4,5.7,-8.316,8.316,189.384,5.6,10.093
2025-06-11T12:52:02.262Z,1749646322.262,193.9,6,6,,43.5153612,43.515359367,43.515365476,43.515371586,100.8,3.6,11.4,318.032,4.0957481,4.095747475,4.095749559,4.095751644,2.5,-38.776,15,10.3,1749653522262,1749646322262,115.8,2.6,-4.526,4.526,189.374,5.6,10.268
2025-06-11T12:52:02.357Z,1749646322.357,186.1,4.4,4.4,,43.5153567,43.515354823,43.51536108,43.515367338,100.3,4.2,11.5,318.533,4.0957477,4.095747423,4.095748346,4.095749268,2.5,-82.105,15.7,10.8,1749653522357,1749646322357,116,-0.8,3.264,3.264,189.364,5.6,10.782
2025-06-11T12:52:02.456Z,1749646322.456,183.3,11,11,,43.5153528,43.515350915,43.515357198,43.515363481,97.7,4.1,10.4,318.968,4.0957474,4.09574725,4.09574775,4.095748249,2.5,-28,14.5,11.3,1749653522456.999,1749646322456.999,112.2,-3.8,6.054,6.054,189.354,5.6,11.237
2025-06-11T12:52:02.559Z,1749646322.559,183.4,18.9,18.9,,43.5153493,43.515347415,43.515353698,43.51535998,95.9,4.9,8.9,319.357,4.0957474,4.095747246,4.09574776,4.095748275,2.5,0.98,13.8,9.6,1749653522559,1749646322559,109.7,-1.2,5.944,5.944,189.344,5.6,9.548
2025-06-11T12:52:02.657Z,1749646322.657,179.4,25.8,25.8,,43.5153455,43.515343612,43.515349905,43.515356198,94.7,4.9,7.5,319.785,4.0957482,4.095748227,4.095748136,4.095748046,2.5,-40.404,12.4,8.5,1749653522657.999,1749646322657.999,107.1,3.9,9.934,9.934,189.334,5.6,8.373
2025-06-11T12:52:02.756Z,1749646322.756,170.8,22.4,22.4,22.4,43.5153419,43.515340036,43.515346249,43.515352461,89.2,4.7,5.9,320.229,4.0957506,4.095751016,4.095749629,4.095748241,2.5,-87.754,10.6,8.3,1749653522756,1749646322756,99.8,6,18.524,18.524,189.324,5.6,7.87
2025-06-11T12:52:02.845Z,1749646322.845,155.3,15.5,15.5,15.5,43.5153379,43.515336185,43.515341902,43.51534762,83.6,4.6,5.1,320.721,4.0957532,4.095754288,4.095750662,4.095747035,2.5,-172.224,9.7,8.8,1749653522845.999,1749646322845.999,93.3,5.1,34.015,34.015,189.315,5.6,7.294
2025-06-11T12:52:02.954Z,1749646322.954,154.1,22.5,22.5,22.5,43.5153344,43.515332702,43.515338363,43.515344024,76.6,4.7,4.3,321.16,4.0957557,4.095756837,4.095753046,4.095749256,2.5,-11.009,9,9.6,1749653522954.999,1749646322954.999,85.6,9.6,35.204,35.204,189.305,5.6,7.844
2025-06-11T12:52:03.064Z,1749646323.064,153.2,21.3,21.3,21.3,43.5153307,43.515329015,43.515334632,43.51534025,70.6,4.8,3.9,321.65,4.095759,4.095760174,4.095756261,4.095752348,2.5,-8.182,8.7,9.4,1749653523064.999,1749646323064.999,79.3,7.6,36.093,36.093,189.294,5.6,7.596
2025-06-11T12:52:03.157Z,1749646323.157,146.2,17.2,17.2,17.2,43.515327,43.515325431,43.515330661,43.515335891,65.6,5.5,3.5,322.144,4.0957624,4.095763848,4.095759021,4.095754193,2.5,-76.086,9,9.3,1749653523157,1749646323157,74.6,11.4,43.084,43.084,189.284,5.6,6.792
2025-06-11T12:52:03.259Z,1749646323.259,145.4,13.2,13.2,13.2,43.5153234,43.515321846,43.515327026,43.515332207,59.7,5.6,2.9,322.644,4.0957661,4.095767578,4.09576265,4.095757722,2.5,-7.843,8.5,9.2,1749653523259,1749646323259,68.2,14.1,43.874,43.874,189.274,5.6,6.632
2025-06-11T12:52:03.357Z,1749646323.357,142.1,6.2,6.2,6.2,43.5153196,43.51531811,43.515323076,43.515328042,53.4,4.5,2.3,323.19,4.0957704,4.095771999,4.095766668,4.095761337,2.5,-33.673,6.8,9.2,1749653523357,1749646323357,60.2,18.2,47.164,47.164,189.264,5.6,6.255
2025-06-11T12:52:03.456Z,1749646323.456,140.4,5.9,5.9,5.9,43.5153155,43.515314045,43.515318894,43.515323744,48.4,4.6,2.5,323.749,4.0957744,4.09577606,4.095770528,4.095764996,2.5,-17,7.1,9.2,1749653523456.999,1749646323456.999,55.5,18.2,48.854,48.854,189.254,5.6,6.053
2025-06-11T12:52:03.560Z,1749646323.560,145,16.2,16.2,16.2,43.5153114,43.515309853,43.515315009,43.515320164,43.1,4.1,2,324.281,4.0957778,4.095779293,4.095774316,4.095769338,2.5,44.66,6.1,10.8,1749653523560,1749646323560,49.2,21.9,44.244,44.244,189.244,5.6,7.737
2025-06-11T12:52:03.656Z,1749646323.656,148.6,17.1,17.1,17.1,43.5153073,43.515305688,43.51531106,43.515316432,43.1,5.1,1.6,324.831,4.0957816,4.095782956,4.095778435,4.095773913,2.5,37.5,6.7,10.7,1749653523656,1749646323656,49.8,27,40.634,40.634,189.234,5.6,8.12
2025-06-11T12:52:03.756Z,1749646323.756,146.1,12.1,12.1,12.1,43.5153033,43.515301733,43.515306957,43.51531218,42.2,5.9,1.65,325.376,4.0957855,4.095786952,4.095782112,4.095777271,2.5,-25,6.551,10.3,1749653523756,1749646323756,49.938,27.5,43.124,43.124,189.224,5.6,7.518
2025-06-11T12:52:03.857Z,1749646323.857,144.3,17.9,17.9,17.9,43.5152992,43.515297667,43.515302778,43.515307888,43.269,4.7,1.7,325.958,4.09579,4.095791519,4.095786455,4.095781391,2.5,-17.822,6.4,10,1749653523857,1749646323857,50.078,33.2,44.914,44.914,189.214,5.6,7.082
2025-06-11T12:52:03.944Z,1749646323.944,141.2,22.2,22.2,22.2,43.5152948,43.515293329,43.515298233,43.515303138,44.2,4.5,1.5,326.536,4.0957938,4.095795431,4.095789993,4.095784556,2.5,-35.228,6,10.3,1749653523944.998,1749646323944.998,50.2,33.2,48.006,48.006,189.206,5.6,6.891
2025-06-11T12:52:04.076Z,1749646324.076,147.6,25.1,25.1,25.1,43.5152904,43.515288806,43.51529412,43.515299433,47.484,5.5,1.8,327.131,4.095798,4.095799395,4.095794745,4.095790095,2.5,48.485,7.3,10.5,1749653524076.997,1749646324076.997,56.749,21.8,41.608,41.608,189.208,5.6,7.851
2025-06-11T12:52:04.150Z,1749646324.150,145.6,28.4,28.4,28.4,43.5152861,43.515284542,43.515289735,43.515294928,49.3,6.218,2.7,327.727,4.0958024,4.095803871,4.095798968,4.095794065,2.5,-27.396,8.638,10.7,1749653524150,1749646324150,60.37,15.2,43.615,43.615,189.215,5.6,7.747
2025-06-11T12:52:04.260Z,1749646324.260,143.9,32,32,32,43.5152816,43.515280074,43.51528516,43.515290245,52.3,7.3,3.626,328.331,4.0958066,4.095808134,4.095803021,4.095797907,2.5,-15.455,10.653,10.8,1749653524260,1749646324260,65.827,14.7,45.326,45.326,189.226,5.6,7.593
2025-06-11T12:52:04.357Z,1749646324.357,145.9,23,23,23,43.5152771,43.515275537,43.515280748,43.515285959,55.8,8.5,4.442,328.949,4.0958111,4.09581256,4.095807694,4.095802829,2.5,20.619,12.431,10.9,1749653524357,1749646324357,70.64,13.5,43.336,43.336,189.236,5.6,7.928
2025-06-11T12:52:04.459Z,1749646324.459,143.7,29,29,29,43.5152726,43.515271078,43.51527615,43.515281223,61.4,9,5.3,329.572,4.0958157,4.095817241,4.095812104,4.095806966,2.5,-21.569,14.3,11.1,1749653524459,1749646324459,75.7,12.5,45.546,45.546,189.246,5.6,7.774
2025-06-11T12:52:04.556Z,1749646324.556,144.2,29.8,29.8,29.8,43.515268,43.515266469,43.515271573,43.515276677,66.5,9.6,5.2,330.19,4.09582,4.095821523,4.095816446,4.09581137,2.5,5.102,14.8,11.3,1749653524556.997,1749646324556.997,81.3,11,45.056,45.056,189.256,5.6,7.983
2025-06-11T12:52:04.657Z,1749646324.657,146.2,33.6,33.6,33.6,43.5152628,43.515261231,43.515266461,43.515271691,71.5,7.9,4.094,330.841,4.0958237,4.095825148,4.095820321,4.095815493,2.5,19.999,12.589,11.5,1749653524657,1749646324657,82.506,11.3,43.066,43.066,189.266,5.6,8.402
2025-06-11T12:52:04.756Z,1749646324.756,152.4,43.7,43.7,43.7,43.5152583,43.515256627,43.515262204,43.515267781,73.3,7.4,3,331.479,4.0958286,4.095829806,4.095825786,4.095821765,2.5,62.626,10.4,11.7,1749653524756,1749646324756,83.7,16.1,36.876,36.876,189.276,5.6,9.359
2025-06-11T12:52:04.858Z,1749646324.858,141.8,34.7,34.7,34.7,43.5152536,43.515252116,43.515257062,43.515262008,73.5,7.4,4.015,332.098,4.0958327,4.09583431,4.095828943,4.095823576,2.5,-103.921,11.415,11.9,1749653524858,1749646324858,85.679,17,47.486,47.486,189.286,5.6,8.042
2025-06-11T12:52:04.956Z,1749646324.956,148.1,35.1,35.1,35.1,43.5152489,43.515247297,43.51525264,43.515257983,75.2,7.4,5,332.739,4.0958373,4.095838676,4.09583409,4.095829504,2.5,63.637,12.4,12,1749653524956.999,1749646324956.999,87.6,15.4,41.196,41.196,189.296,5.6,9.03
2025-06-11T12:52:05.048Z,1749646325.048,144.4,45.1,45.1,45.1,43.5152444,43.515242865,43.515247982,43.515253099,74.5,6.8,5.9,333.362,4.0958419,4.095843416,4.095838364,4.095833312,2.5,-40.218,12.7,12.1,1749653525048.999,1749646325048.999,87.2,18.3,44.915,44.915,189.315,5.605,8.569
2025-06-11T12:52:05.163Z,1749646325.163,143.9,41,41,41,43.5152398,43.515238274,43.51524336,43.515248445,76.121,7.3,5.9,333.98,4.0958462,4.095847734,4.095842621,4.095837507,2.5,-4.386,13.2,12.1,1749653525163,1749646325163,89.199,17.3,45.449,45.449,189.349,5.616,8.489
2025-06-11T12:52:05.260Z,1749646325.260,146.1,46.1,46.1,46.1,43.5152354,43.515233833,43.515239057,43.51524428,77.5,8.8,5.95,334.589,4.0958507,4.095852152,4.095847312,4.095842471,2.5,22.681,13.65,12.1,1749653525260,1749646325260,90.899,18.5,43.278,43.278,189.378,5.626,8.809
2025-06-11T12:52:05.357Z,1749646325.357,143.3,45.1,45.1,45.1,43.5152309,43.515229386,43.515234432,43.515239478,78.5,8.1,6,335.198,4.095855,4.095856556,4.09585137,4.095846183,2.5,-28.866,14.1,12.1,1749653525357,1749646325357,92.6,16.5,46.107,46.107,189.407,5.636,8.389
2025-06-11T12:52:05.456Z,1749646325.456,145.3,48.4,48.4,48.4,43.5152263,43.515224748,43.515229922,43.515235096,81.1,7,5.75,335.816,4.0958593,4.095860782,4.095855842,4.095850901,2.5,20,13.305,12.1,1749653525456.999,1749646325456.999,92.799,13.5,44.137,44.137,189.437,5.646,8.684
2025-06-11T12:52:05.556Z,1749646325.556,145.8,47.2,47.2,47.2,43.5152216,43.515220038,43.515225244,43.515230449,83.1,6.554,5.5,336.435,4.0958634,4.095864863,4.095859985,4.095855107,2.5,5,12.511,12.1,1749653525556.997,1749646325556.997,92.997,14.8,43.667,43.667,189.467,5.656,8.753
2025-06-11T12:52:05.658Z,1749646325.658,148,53.8,53.8,53.8,43.5152168,43.515215199,43.515220536,43.515225873,81.5,6.1,5.6,337.063,4.0958675,4.09586888,4.095864281,4.095859682,2.5,21.568,11.7,12,1749653525658.999,1749646325658.999,93.2,13.5,41.498,41.498,189.498,5.666,8.988
2025-06-11T12:52:05.756Z,1749646325.756,148.5,50.7,50.7,50.7,43.5152123,43.51521069,43.515216056,43.515221422,81.055,4.8,6.6,337.691,4.0958722,4.09587356,4.095869026,4.095864491,2.5,5.102,11.4,12.1,1749653525756.998,1749646325756.998,92.606,12.9,41.027,41.027,189.527,5.676,9.128
2025-06-11T12:52:05.857Z,1749646325.857,143.3,45.5,45.5,45.5,43.5152077,43.515206186,43.515211232,43.515216278,80.6,3.6,7.8,338.332,4.095877,4.095878556,4.09587337,4.095868183,2.5,-51.999,11.4,12.1,1749653525857,1749646325857,92,13.2,46.257,46.257,189.557,5.686,8.366
2025-06-11T12:52:05.956Z,1749646325.956,142.8,43.9,43.9,43.9,43.515203,43.515201496,43.515206509,43.515211522,84.175,5.258,7.696,338.973,4.0958816,4.095883174,4.095877927,4.09587268,2.5,-5,12.954,12.1,1749653525956.999,1749646325956.999,97.13,11.4,46.787,46.787,189.587,5.696,8.285
2025-06-11T12:52:06.049Z,1749646326.049,145,50.2,50.2,50.2,43.5151983,43.515196753,43.515201909,43.515207064,87.5,6.8,7.6,339.614,4.0958862,4.095887693,4.095882716,4.095877738,2.5,23.656,14.4,12.1,1749653526049.999,1749646326049.999,101.9,15.4,44.63,44.63,189.63,5.705,8.611
2025-06-11T12:52:06.157Z,1749646326.157,144,51.5,51.5,51.5,43.5151935,43.515191973,43.515197064,43.515202156,90.6,6.2,7,340.26,4.0958907,4.09589223,4.095887129,4.095882028,2.5,-9.259,13.2,12.1,1749653526157.999,1749646326157.999,103.8,12.2,45.695,45.695,189.695,5.716,8.452
2025-06-11T12:52:06.259Z,1749646326.259,146,45.8,45.8,45.8,43.5151888,43.515187235,43.515192452,43.51519767,93.9,6.25,7.2,340.906,4.0958954,4.095896856,4.095892003,4.09588715,2.5,19.802,13.301,12.1,1749653526259,1749646326259,105.894,11,43.755,43.755,189.755,5.726,8.74
2025-06-11T12:52:06.359Z,1749646326.359,145,43.6,43.6,43.6,43.515184,43.515182453,43.515187609,43.515192764,96.6,6.3,7.099,341.556,4.0959,4.095901493,4.095896516,4.095891538,2.5,-10,13.402,12.2,1749653526359,1749646326359,107.968,14.3,44.815,44.815,189.815,5.736,8.654
2025-06-11T12:52:06.456Z,1749646326.456,145,46.3,46.3,46.3,43.5151792,43.515177653,43.515182809,43.515187964,96.5,6.5,7,342.23,4.0959051,4.095906593,4.095901616,4.095896638,2.5,0,13.5,12.3,1749653526456.999,1749646326456.999,110,14.9,44.874,44.874,189.874,5.746,8.716
2025-06-11T12:52:06.556Z,1749646326.556,142.1,53,53,53,43.5151746,43.51517311,43.515178076,43.515183042,94.1,6.7,6.9,342.886,4.0959102,4.095911799,4.095906468,4.095901137,2.5,-29.001,13.6,12.3,1749653526556.997,1749646326556.997,107.7,16.8,47.834,47.834,189.934,5.756,8.257
2025-06-11T12:52:06.657Z,1749646326.657,141.6,45.9,45.9,45.9,43.5151698,43.51516832,43.515173253,43.515178185,90.3,6.4,6.247,343.556,4.0959152,4.095916817,4.095911427,4.095906036,2.5,-5,12.695,12.4,1749653526657,1749646326657,103.78,16.2,48.394,48.394,189.994,5.766,8.234
2025-06-11T12:52:06.756Z,1749646326.756,142.7,36,36,36,43.5151651,43.515163598,43.515168604,43.515173611,88.1,6.2,5.6,344.221,4.0959203,4.095921878,4.095916619,4.09591136,2.5,11.111,11.8,12.5,1749653526756,1749646326756,99.9,19.3,47.354,47.354,190.054,5.776,8.468
2025-06-11T12:52:06.858Z,1749646326.858,141.7,46.9,46.9,46.9,43.5151603,43.515158818,43.515163757,43.515168696,87.6,6.5,5.4,344.88,4.0959251,4.095926714,4.095921335,4.095915956,2.5,-9.804,11.9,12.6,1749653526858,1749646326858,99.5,21.1,48.415,48.415,190.115,5.786,8.363
2025-06-11T12:52:06.956Z,1749646326.956,144,46.4,46.4,46.4,43.5151554,43.515153873,43.515158964,43.515164056,86.2,6,5.5,345.553,4.09593,4.09593153,4.095926429,4.095921328,2.5,23.469,11.5,12.6,1749653526956,1749646326956,97.7,21.2,46.174,46.174,190.174,5.796,8.725
2025-06-11T12:52:07.052Z,1749646327.052,143.7,40.4,40.4,40.4,43.5151504,43.515148878,43.51515395,43.515159023,84.4,5.761,5.309,346.24,4.095935,4.095936541,4.095931404,4.095926266,2.5,-3.125,11.07,12.7,1749653527052,1749646327052,96.551,18.3,46.526,46.526,190.226,5.805,8.738
2025-06-11T12:52:07.157Z,1749646327.157,144.5,45.8,45.8,45.8,43.5151453,43.515143763,43.515148887,43.51515401,83.289,5.5,5.1,346.951,4.0959403,4.095941812,4.095936772,4.095931733,2.5,7.619,10.6,12.8,1749653527157,1749646327157,95.294,14.5,45.778,45.778,190.279,5.816,8.927
2025-06-11T12:52:07.260Z,1749646327.260,143.1,45,45,45,43.5151401,43.51513859,43.515143623,43.515148656,82.2,5.4,5.049,347.647,4.0959451,4.095946663,4.095941453,4.095936242,2.5,-13.592,10.6,12.9,1749653527260,1749646327260,94.061,13.1,47.23,47.23,190.33,5.826,8.76
2025-06-11T12:52:07.357Z,1749646327.357,145.8,46.7,46.7,46.7,43.5151349,43.515133338,43.515138544,43.515143749,82.3,5.6,5,348.352,4.0959501,4.095951563,4.095946685,4.095941807,2.5,27.835,10.6,13,1749653527357,1749646327357,92.9,12.1,44.578,44.578,190.378,5.836,9.26
2025-06-11T12:52:07.456Z,1749646327.456,145.2,39.2,39.2,39.2,43.5151296,43.51512805,43.515133218,43.515138385,83,5.8,5.3,349.09,4.0959556,4.095957086,4.095952133,4.09594718,2.5,-6,11.1,13.1,1749653527456.999,1749646327456.999,94.1,10.7,45.229,45.229,190.428,5.846,9.226
2025-06-11T12:52:07.556Z,1749646327.556,142.8,45.9,45.9,45.9,43.5151245,43.515122996,43.515128009,43.515133022,81,3.1,4.6,349.81,4.0959611,4.095962674,4.095957427,4.09595218,2.5,-24,7.7,13.2,1749653527556.997,1749646327556.997,88.7,9.6,47.678,47.678,190.479,5.856,8.887
2025-06-11T12:52:07.657Z,1749646327.657,142,50.6,50.6,50.6,43.5151193,43.515117812,43.515122772,43.515127731,76.8,0.7,2.6,350.515,4.0959661,4.095967703,4.09596236,4.095957017,2.5,-8,3.3,13.3,1749653527657,1749646327657,80.1,11.5,48.528,48.528,190.529,5.866,8.808
2025-06-11T12:52:07.756Z,1749646327.756,145.5,47.5,47.5,47.5,43.5151142,43.515112644,43.515117831,43.515123017,70.2,2,2.5,351.225,4.0959714,4.095972875,4.095967959,4.095963044,2.5,35.354,4.5,13.5,1749653527756,1749646327756,74.7,8.6,45.078,45.078,190.578,5.876,9.533
2025-06-11T12:52:07.858Z,1749646327.858,143.2,40,40,40,43.5151089,43.515107388,43.515112428,43.515117467,73.9,2.5,4.03,351.968,4.095977,4.09597856,4.095973361,4.095968162,2.5,-22.549,6.489,13.6,1749653527858,1749646327858,79.596,9.2,47.429,47.429,190.629,5.886,9.2
2025-06-11T12:52:07.956Z,1749646327.956,142.5,42.5,42.5,42.5,43.5151036,43.515102102,43.515107095,43.515112088,75.9,2.9,5.5,352.687,4.0959821,4.095983685,4.095978402,4.095973119,2.5,-7.143,8.4,13.7,1749653527956,1749646327956,84.3,15.5,48.178,48.178,190.678,5.896,9.135
2025-06-11T12:52:08.056Z,1749646328.056,144.8,47.8,47.8,47.8,43.5150983,43.515096757,43.5151019,43.515107043,76.1,2.7,4.9,353.42,4.0959875,4.095989001,4.095983998,4.095978996,2.5,22.773,7.6,13.8,1749653528056.997,1749646328056.997,83.7,13.2,45.934,45.934,190.734,5.906,9.598
2025-06-11T12:52:08.160Z,1749646328.160,143.5,41.4,41.4,41.4,43.5150929,43.515091382,43.515096441,43.5151015,77.9,5.4,5.1,354.176,4.0959932,4.095994749,4.095989587,4.095984424,2.5,-12.621,10.5,13.9,1749653528160,1749646328160,88.4,9.1,47.296,47.296,190.796,5.916,9.427
2025-06-11T12:52:08.260Z,1749646328.260,142.5,47.5,47.5,47.5,43.5150875,43.515086002,43.515090995,43.515095988,86.2,6.323,6.1,354.895,4.0959981,4.095999685,4.095994402,4.095989119,2.5,-9.901,12.089,14,1749653528260.997,1749646328260.997,98.397,12.7,48.357,48.357,190.857,5.926,9.303
2025-06-11T12:52:08.357Z,1749646328.357,146.6,38.6,38.6,38.6,43.5150821,43.515080524,43.515085778,43.515091032,94.3,7.2,6.4,355.642,4.0960036,4.096005033,4.096000256,4.095995479,2.5,42.707,13.6,14,1749653528357,1749646328357,107.9,14.7,44.314,44.314,190.914,5.936,10.017
2025-06-11T12:52:08.456Z,1749646328.456,143.6,44,44,44,43.5150766,43.51507508,43.515080146,43.515085211,95,7.3,5.7,356.361,4.0960083,4.096009845,4.096004695,4.095999545,2.5,-30,13,14.1,1749653528456.999,1749646328456.999,108,16,47.374,47.374,190.974,5.946,9.549
2025-06-11T12:52:08.556Z,1749646328.556,148.1,43.5,43.5,43.5,43.515071,43.515069397,43.51507474,43.515080083,93.713,6,5,357.103,4.0960133,4.096014676,4.09601009,4.096005504,2.5,45.454,11,14.1,1749653528556,1749646328556,106.378,13,42.934,42.934,191.034,5.956,10.323
